Star,HD #,RA,DEC,Magn.,Sp. type,Tot. nb,1 year,2 months,Last,Obs Period
HL Lib,127208,+14 30 40.5,-22 27 39.3,6.96,B9IVe,45,4,0,6/6/2024 5:49,365
53 Boo,138629,+15 31 47.0,+40 53 57.6,5,A5Ve,115,4,0,6/19/2024 7:24,365
tet CrB,138749,+15 32 55.8,+31 21 32.9,4.15,B6Vnne,318,12,1,12/29/2024 5:32,120
V1040 Sco,142184,+15 53 55.9,-23 58 41.2,5.4,B2Ve,58,4,0,6/23/2024 5:22,365
4 Her,142926,+15 55 30.6,+42 33 58.3,5.74,B9pe,170,5,1,12/15/2024 5:54,120
48 Lib,142983,+15 58 11.4,-14 16 45.7,4.94,B8IIe,108,2,0,6/2/2024 5:57,365
del Sco,143275,+16 00 20.0,-22 37 18.1,2.29,B0.2IVe,1044,7,0,8/13/2024 20:56,30
chi Oph,148184,+16 27 01.4,-18 27 22.5,4.42,B2Vne,87,2,0,4/8/2024 4:47,365
zet Oph,149757,+16 37 09.5,-10 34 01.5,2.58,O9Ve,144,1,0,4/8/2024 5:05,365
51 Oph,158643,+17 31 25.0,-23 57 45.5,4.81,A0Ve,25,4,0,9/23/2024 1:47,365
z Her,162732,+17 50 03.3,+48 23 39.0,6.89,Bpshe,105,1,0,4/28/2024 21:10,365
HD 163296,163296,+17 56 21.3,-21 57 21.9,6.86,A1Ve,43,2,0,7/1/2024 1:57,30
66 Oph,164284,+18 00 15.8,+04 22 07.0,4.78,B2Ve,498,4,0,7/29/2024 21:14,90
V974 Her,164447,+18 00 27.7,+19 30 20.8,6.43,B8Vne,44,3,0,8/27/2024 19:50,120
V986 Oph,165174,+18 04 37.4,+01 55 08.4,6.15,B0IIIne,30,1,0,4/10/2024 6:31,365
omi Her,166014,+18 07 32.6,+28 45 45.0,3.84,B9.5Ve,132,5,0,8/22/2024 4:23,365
HD 166917,166917,+18 12 40.4,+02 48 46.1,6.7,B8IIIe,21,1,0,6/30/2024 5:33,365
HD 168957,168957,+18 21 27.8,+25 03 24.4,6.98,B3Ve,50,0,0,7/10/2023 7:21,90
NW Ser,168797,+18 21 28.4,+05 26 08.6,6.15,B2.5IIIe,49,1,0,4/10/2024 9:18,120
HD 169033,169033,+18 23 12.2,-12 00 53.1,5.71,B5Ve,25,3,0,9/27/2024 1:49,365
V532 Lyr,171406,+18 33 23.0,+30 53 31.5,6.54,B4Ve,78,4,0,7/18/2024 21:07,120
